x y
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.565
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.455
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.455
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.455
0.0 0.555
0.0 0.565
0.0 0.555
0.0 0.555
0.0 0.455
0.0 0.555
0.0 0.555
0.0 0.455
0.0 0.455
0.0 0.555
0.0 0.49
0.0 0.5
0.0 0.51
0.0 0.55
0.0 0.5
0.0 0.485
0.0 0.495
0.0 0.505
0.0 0.535
0.0 0.535
0.0 0.455
0.0 0.555
0.0 0.455
0.01 0.49
0.0 0.5
0.0 0.545
0.0 0.485
0.0 0.545
0.0 0.555
0.0 0.455
0.0 0.565
0.0 0.535
0.0 0.505
0.0 0.465
0.0 0.565
0.0 0.535
0.0 0.46
0.0 0.555
0.0 0.505
0.0 0.485
0.0 0.485
0.0 0.515
0.0 0.515
0.0 0.475
0.0 0.545
0.0 0.485
0.0 0.555
0.0 0.505
0.0 0.555
0.0 0.485
0.0 0.455
0.0 0.505
0.0 0.515
0.0 0.5
0.0 0.555
0.0 0.555
0.0 0.475
0.0 0.485
0.0 0.5
0.0 0.5
0.0 0.51
0.0 0.505
0.0 0.545
0.0 0.555
0.0 0.535
0.0 0.485
0.0 0.555
0.0 0.485
0.0 0.455
0.0 0.46
0.02 0.435
0.0 0.485
0.0 0.485
0.0 0.485
0.0 0.485
0.0 0.505
0.03 0.55
0.0 0.535
0.0 0.525
0.0 0.525
0.0 0.545
0.0 0.485
0.0 0.525
0.0 0.525
0.0 0.555
0.0 0.535
0.0 0.455
0.0 0.555
0.0 0.525
0.0 0.515
0.0 0.485
0.0 0.485
0.0 0.485
0.0 0.485
0.0 0.455
0.0 0.545
0.0 0.535
0.0 0.545
0.0 0.555
0.0 0.555
0.0 0.485
0.0 0.485
0.0 0.525
0.0 0.485
0.0 0.535
0.0 0.485
0.0 0.485
0.0 0.545
0.0 0.485
0.0 0.485
0.01 0.525
0.0 0.515
0.0 0.535
0.0 0.485
0.0 0.495
0.0 0.455
0.01 0.525
0.0 0.525
0.0 0.485
0.0 0.485
0.0 0.535
0.0 0.485
0.0 0.455
0.0 0.535
0.0 0.48
0.0 0.545
0.01 0.52
0.0 0.525
0.0 0.51
0.0 0.485
0.0 0.545
0.0 0.505
0.0 0.515
0.0 0.535
0.0 0.5
0.0 0.555
0.0 0.485
0.0 0.485
0.0 0.455
0.0 0.555
0.0 0.535
0.0 0.485
0.0 0.485
0.0 0.555
0.0 0.485
0.0 0.485
0.0 0.47
0.0 0.555
0.0 0.505
0.0 0.51
0.0 0.51
0.0 0.545
0.0 0.475
0.0 0.545
0.0 0.555
0.0 0.535
0.0 0.485
0.01 0.505
0.0 0.465
0.0 0.485
0.0 0.555
0.0 0.485
0.0 0.495
0.0 0.485
0.0 0.495
0.0 0.46
0.0 0.485
0.0 0.555
0.0 0.535
0.0 0.465
0.0 0.555
0.0 0.455
0.0 0.485
0.0 0.535
0.0 0.555
0.0 0.545
0.0 0.485
0.0 0.535
0.0 0.555
0.0 0.495
0.0 0.555
0.0 0.485
0.0 0.525
0.0 0.455
0.0 0.505
0.0 0.485
0.0 0.455
0.0 0.5
0.0 0.48
0.0 0.485
0.0 0.555
0.0 0.555
0.0 0.475
0.0 0.555
0.0 0.555
0.0 0.485
0.0 0.555
0.0 0.46
0.0 0.485
0.0 0.455
0.0 0.485
0.0 0.455
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.485
0.0 0.555
0.0 0.475
0.0 0.455
0.0 0.525
0.0 0.485
0.0 0.485
0.0 0.555
0.0 0.555
0.0 0.535
0.0 0.555
0.0 0.555
0.0 0.455
0.0 0.525
0.0 0.455
0.0 0.555
0.0 0.485
0.0 0.485
0.0 0.555
0.0 0.555
0.0 0.485
0.0 0.555
0.0 0.485
0.0 0.505
0.0 0.555
0.0 0.455
0.0 0.555
0.0 0.555
0.0 0.455
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.535
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.525
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.455
0.0 0.555
0.0 0.555
0.0 0.525
0.0 0.485
0.0 0.555
0.0 0.495
0.0 0.535
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.505
0.0 0.555
0.0 0.525
0.0 0.505
0.0 0.505
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
