x y
0.0 0.52
0.0 0.52
0.0 0.48
0.0 0.52
0.0 0.52
0.0 0.48
0.0 0.52
0.0 0.52
0.0 0.52
0.0 0.52
0.0 0.47
0.0 0.52
0.0 0.56
0.0 0.52
0.0 0.47
0.0 0.52
0.0 0.52
0.0 0.52
0.0 0.52
0.0 0.52
0.0 0.47
0.0 0.52
0.0 0.48
0.0 0.47
0.0 0.52
0.0 0.43
0.0 0.52
0.0 0.52
0.0 0.47
0.0 0.52
0.03 0.55
0.0 0.465
0.0 0.47
0.01 0.36
0.0 0.48
0.0 0.465
0.04 0.47
0.04 0.425
0.0 0.47
0.05 0.455
0.0 0.485
0.0 0.475
0.0 0.48
0.0 0.44
0.0 0.465
0.0 0.645
0.0 0.47
0.0 0.48
0.0 0.36
0.0 0.48
0.0 0.36
0.0 0.48
0.0 0.48
0.0 0.465
0.01 0.52
0.0 0.48
0.02 0.495
0.0 0.48
0.0 0.36
0.0 0.475
0.0 0.465
0.0 0.465
0.0 0.47
0.0 0.36
0.0 0.36
0.0 0.475
0.0 0.48
0.0 0.49
0.05 0.51
0.0 0.48
0.0 0.475
0.0 0.465
0.0 0.465
0.0 0.47
0.0 0.475
0.0 0.465
0.01 0.475
0.04 0.515
0.0 0.48
0.0 0.475
0.0 0.465
0.0 0.465
0.0 0.475
0.01 0.455
0.03 0.455
0.0 0.48
0.0 0.48
0.0 0.475
0.01 0.47
0.04 0.49
0.0 0.41
0.04 0.47
0.01 0.405
0.0 0.405
0.01 0.54
0.02 0.475
0.0 0.48
0.01 0.5
0.01 0.5
0.01 0.48
0.0 0.4
0.02 0.45
0.01 0.425
0.01 0.485
0.0 0.465
0.0 0.445
0.0 0.355
0.0 0.465
0.0 0.47
0.0 0.475
0.0 0.595
0.01 0.485
0.04 0.525
0.0 0.61
0.02 0.475
0.0 0.645
0.0 0.36
0.01 0.475
0.0 0.49
0.0 0.465
0.0 0.465
0.0 0.585
0.0 0.645
0.04 0.405
0.0 0.475
0.0 0.465
0.01 0.485
0.0 0.36
0.0 0.465
0.0 0.48
0.08 0.475
0.01 0.545
0.0 0.465
0.0 0.41
0.09 0.485
0.0 0.475
0.03 0.47
0.0 0.465
0.0 0.595
0.0 0.465
0.02 0.41
0.01 0.47
0.0 0.47
0.01 0.495
0.01 0.485
0.02 0.49
0.0 0.465
0.0 0.475
0.02 0.48
0.01 0.48
0.0 0.465
0.0 0.465
0.0 0.465
0.06 0.57
0.0 0.36
0.0 0.475
0.0 0.465
0.0 0.475
0.01 0.435
0.0 0.475
0.03 0.53
0.0 0.465
0.0 0.48
0.0 0.355
0.0 0.555
0.01 0.47
0.0 0.475
0.02 0.455
0.0 0.465
0.0 0.475
0.0 0.475
0.0 0.475
0.0 0.475
0.01 0.52
0.01 0.425
0.01 0.585
0.0 0.465
0.0 0.465
0.0 0.405
0.01 0.485
0.0 0.465
0.0 0.54
0.0 0.54
0.0 0.47
0.0 0.475
0.01 0.435
0.0 0.475
0.01 0.405
0.0 0.355
0.0 0.465
0.0 0.465
0.0 0.465
0.0 0.465
0.0 0.47
0.02 0.41
0.0 0.465
0.0 0.465
0.0 0.465
0.0 0.475
0.0 0.475
0.0 0.465
0.02 0.46
0.0 0.645
0.0 0.465
0.0 0.465
0.0 0.475
0.0 0.475
0.0 0.475
0.0 0.465
0.0 0.465
0.0 0.465
0.0 0.475
0.0 0.645
0.0 0.475
0.0 0.475
0.0 0.465
0.0 0.465
0.0 0.48
0.0 0.465
0.0 0.475
0.0 0.465
0.02 0.395
0.0 0.465
0.0 0.475
0.0 0.465
0.0 0.645
0.0 0.465
0.0 0.475
0.0 0.47
0.03 0.48
0.0 0.475
0.0 0.47
0.01 0.425
0.0 0.475
0.0 0.465
0.0 0.465
0.0 0.475
0.01 0.47
0.0 0.465
0.0 0.465
0.0 0.465
0.0 0.465
0.0 0.465
0.0 0.465
0.0 0.475
0.0 0.465
0.0 0.465
0.0 0.465
0.0 0.465
0.0 0.475
0.0 0.465
0.0 0.475
0.0 0.465
0.0 0.465
0.0 0.48
0.0 0.465
0.0 0.465
0.0 0.475
0.0 0.465
0.0 0.47
0.0 0.475
0.0 0.465
0.0 0.475
0.0 0.465
0.0 0.465
0.0 0.465
0.0 0.475
0.0 0.465
0.0 0.475
0.0 0.475
0.0 0.465
0.0 0.475
0.0 0.36
0.0 0.465
0.0 0.535
0.0 0.465
0.0 0.465
0.0 0.535
0.0 0.475
0.0 0.465
0.0 0.595
0.0 0.475
0.0 0.465
0.0 0.475
0.0 0.475
0.0 0.465
0.0 0.475
0.0 0.475
0.0 0.475
0.0 0.465
0.0 0.465
0.0 0.475
0.0 0.475
0.0 0.475
0.0 0.475
0.0 0.465
0.0 0.535
0.0 0.475
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
0.0 0.535
