x y
0.0 0.455
0.0 0.455
0.0 0.475
0.0 0.525
0.0 0.455
0.0 0.48
0.0 0.49
0.0 0.49
0.0 0.465
0.0 0.445
0.0 0.475
0.0 0.545
0.0 0.46
0.0 0.395
0.0 0.42
0.0 0.48
0.0 0.495
0.0 0.49
0.0 0.455
0.0 0.605
0.0 0.45
0.0 0.495
0.0 0.43
0.0 0.455
0.0 0.53
0.0 0.51
0.0 0.455
0.0 0.495
0.0 0.44
0.0 0.475
-0.05 0.465
0.09 0.515
-0.09 0.44
-0.05 0.56
-0.09 0.53
0.08 0.54
0.2 0.54
-0.03 0.51
0.22 0.54
0.0 0.53
0.08 0.505
-0.06 0.525
0.0 0.54
0.1 0.49
0.17 0.52
0.03 0.45
0.02 0.48
-0.05 0.485
0.04 0.525
0.27 0.555
0.13 0.505
0.01 0.55
-0.09 0.52
0.05 0.47
0.15 0.55
0.08 0.53
0.05 0.555
-0.03 0.505
0.09 0.45
0.08 0.41
0.16 0.54
0.14 0.535
0.13 0.585
0.3 0.545
0.29 0.515
-0.05 0.53
0.14 0.58
0.23 0.46
-0.03 0.54
0.08 0.6
0.04 0.51
0.19 0.65
0.2 0.525
0.06 0.49
0.13 0.535
-0.08 0.565
-0.05 0.495
0.13 0.575
-0.08 0.5
0.09 0.635
0.2 0.55
0.28 0.51
0.02 0.575
0.07 0.56
-0.05 0.565
0.17 0.55
0.06 0.475
0.19 0.565
0.05 0.525
0.14 0.63
0.3 0.705
0.14 0.68
0.03 0.7
0.09 0.64
0.29 0.675
0.03 0.64
0.24 0.695
0.14 0.51
0.12 0.58
0.1 0.58
0.12 0.91
0.18 0.59
0.05 0.64
0.3 0.695
0.1 0.835
0.04 0.75
0.11 0.55
0.22 0.54
0.14 0.63
0.09 0.57
0.09 0.835
0.12 0.67
0.19 0.745
0.16 0.71
0.06 0.85
0.05 0.825
0.11 0.675
0.24 0.57
0.21 0.62
0.13 0.54
0.12 0.72
0.02 0.51
0.07 0.665
0.1 0.79
0.13 0.695
0.08 0.825
0.12 0.775
0.19 0.79
0.18 0.645
0.03 0.845
0.04 0.84
0.16 0.695
0.14 0.61
0.11 0.715
0.0 0.515
0.17 0.695
0.24 0.77
0.12 0.62
0.23 0.73
0.14 0.575
0.19 0.68
0.15 0.79
0.04 0.71
0.09 0.775
0.04 0.765
0.04 0.685
0.18 0.87
0.08 0.72
0.03 0.73
0.18 0.795
0.04 0.86
0.19 0.875
0.04 0.885
0.02 0.85
0.1 0.87
0.01 0.93
0.07 0.8
0.01 0.745
0.02 0.615
0.07 0.53
0.07 0.78
0.0 0.705
0.11 0.885
0.01 0.73
0.0 0.755
0.09 0.98
0.16 0.84
0.02 0.765
0.03 0.775
0.04 0.71
0.01 0.72
0.03 0.77
0.1 0.82
0.02 0.865
0.0 0.885
0.16 0.64
0.01 0.775
0.06 0.77
0.1 0.81
0.07 0.725
0.01 0.53
0.01 0.835
0.0 0.79
0.0 0.875
0.0 0.78
0.05 0.665
0.01 0.805
0.0 0.645
0.06 0.605
0.06 0.83
0.0 0.685
0.08 0.65
0.1 0.77
0.01 0.71
0.02 0.65
0.02 0.675
0.01 0.805
0.01 0.87
0.06 0.81
0.04 0.705
0.0 0.71
0.0 0.625
0.01 0.95
0.05 0.685
0.0 0.585
0.0 0.785
0.04 0.625
0.07 0.78
0.06 0.75
0.02 0.68
0.0 0.675
0.0 0.535
0.0 0.57
0.01 0.76
0.0 0.545
0.0 0.545
0.0 0.635
0.0 0.595
0.03 0.66
0.0 0.535
0.0 0.55
0.03 0.645
0.07 0.725
0.0 0.53
0.0 0.585
0.0 0.635
0.0 0.47
0.0 0.68
0.04 0.46
0.0 0.63
0.03 0.73
0.0 0.535
0.0 0.545
0.03 0.68
0.0 0.63
0.0 0.53
0.01 0.495
0.0 0.535
0.0 0.785
0.0 0.58
0.08 0.565
0.0 0.48
0.0 0.535
0.0 0.48
0.0 0.535
0.0 0.61
0.0 0.635
0.0 0.48
0.0 0.535
0.0 0.585
0.0 0.535
0.0 0.48
0.0 0.535
0.0 0.465
0.0 0.525
0.0 0.555
0.0 0.55
0.0 0.48
0.0 0.575
0.0 0.505
0.0 0.535
0.01 0.59
0.0 0.565
0.0 0.53
0.01 0.69
0.01 0.54
0.0 0.585
-0.01 0.545
0.0 0.625
0.0 0.48
0.0 0.48
0.0 0.535
0.0 0.48
0.0 0.48
0.0 0.54
0.0 0.48
0.0 0.66
0.0 0.48
0.03 0.54
0.0 0.54
0.0 0.535
0.0 0.48
0.0 0.48
0.0 0.48
0.0 0.415
0.0 0.48
0.0 0.48
0.0 0.49
0.0 0.48
0.0 0.48
0.0 0.48
0.0 0.535
0.0 0.48
0.0 0.48
0.0 0.48
0.0 0.48
0.0 0.535
0.0 0.49
0.0 0.535
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
0.0 0.555
