x y
0.0 0.52
0.0 0.52
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.49
0.0 0.505
0.0 0.53
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.495
0.0 0.495
0.0 0.505
0.0 0.505
0.0 0.53
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.495
0.0 0.505
0.0 0.505
0.0 0.495
0.0 0.485
0.0 0.485
0.0 0.515
0.0 0.5
0.01 0.56
0.0 0.5
0.01 0.525
-0.01 0.49
0.01 0.5
0.06 0.44
0.02 0.54
0.0 0.495
0.06 0.47
0.07 0.5
0.02 0.48
0.24 0.45
0.13 0.44
0.04 0.515
0.14 0.565
0.01 0.47
0.1 0.49
0.09 0.495
-0.01 0.54
0.09 0.5
0.12 0.545
0.0 0.505
0.09 0.49
0.03 0.51
0.04 0.58
0.02 0.505
0.09 0.495
0.04 0.49
0.12 0.52
0.08 0.555
0.13 0.51
0.04 0.52
0.09 0.525
0.05 0.46
-0.05 0.515
0.03 0.51
0.06 0.47
0.03 0.485
0.06 0.49
0.06 0.51
0.07 0.485
0.12 0.515
0.03 0.46
0.13 0.48
0.06 0.6
0.2 0.5
0.14 0.495
0.0 0.515
0.18 0.47
0.02 0.51
0.05 0.46
0.0 0.45
0.11 0.51
0.16 0.745
0.16 0.47
0.09 0.46
0.22 0.48
0.01 0.5
0.0 0.515
0.03 0.45
0.05 0.46
0.06 0.485
0.0 0.485
0.03 0.505
0.01 0.44
0.03 0.53
0.03 0.475
0.08 0.385
0.03 0.475
0.09 0.46
0.06 0.55
0.0 0.4
0.09 0.52
0.08 0.495
0.01 0.4
0.0 0.54
0.05 0.515
0.04 0.5
0.13 0.44
0.01 0.575
-0.02 0.46
0.08 0.475
0.06 0.44
0.08 0.495
0.0 0.535
0.04 0.47
0.06 0.49
0.02 0.575
0.0 0.48
0.04 0.49
0.0 0.52
0.01 0.46
0.0 0.395
0.0 0.63
0.05 0.47
0.03 0.48
-0.01 0.515
0.01 0.75
0.0 0.49
0.03 0.38
0.03 0.49
0.0 0.43
0.02 0.505
0.0 0.5
0.0 0.455
0.13 0.585
0.0 0.42
0.02 0.445
0.04 0.49
0.02 0.4
0.0 0.49
0.0 0.48
0.0 0.445
0.03 0.495
0.06 0.49
0.0 0.54
0.0 0.485
0.02 0.5
0.0 0.435
0.07 0.5
0.05 0.525
0.02 0.48
0.04 0.465
0.0 0.465
0.0 0.5
0.0 0.59
0.04 0.5
0.01 0.465
0.06 0.575
0.03 0.54
0.02 0.515
0.01 0.495
0.02 0.995
0.11 0.495
0.0 0.515
0.0 0.635
0.0 0.54
0.0 0.585
0.0 0.475
0.07 0.475
0.0 0.52
0.0 0.625
0.0 0.425
0.0 0.56
0.0 0.51
0.0 0.515
0.0 0.51
0.0 0.435
0.02 0.445
0.0 0.435
0.0 0.455
0.02 0.615
0.0 0.465
0.0 0.44
0.0 0.415
0.0 0.71
0.0 0.465
0.03 0.5
0.0 0.46
0.01 0.435
0.0 0.495
0.0 0.67
0.03 0.495
0.0 0.465
0.0 0.56
0.0 0.49
0.02 0.555
0.0 0.495
0.0 0.73
0.0 0.65
0.0 0.445
0.0 0.49
0.0 0.525
0.0 0.48
0.0 0.5
0.01 0.455
0.0 0.49
0.0 0.475
0.0 0.49
0.0 0.515
0.03 0.525
0.0 0.535
0.0 0.5
0.0 0.465
0.01 0.425
0.0 0.52
0.0 0.46
0.0 0.45
0.0 0.505
0.0 0.44
0.0 0.455
-0.01 0.475
0.01 0.535
0.0 0.49
0.0 0.49
0.0 0.43
0.0 0.51
0.0 0.56
0.03 0.73
0.0 0.505
0.0 0.495
0.0 0.495
0.0 0.44
0.0 0.455
0.0 0.61
0.0 0.625
0.0 0.48
0.0 0.55
0.0 0.48
0.0 0.48
0.0 0.46
0.0 0.53
0.0 0.505
0.0 0.53
0.0 0.5
0.0 0.505
0.0 0.46
0.0 0.53
0.0 0.485
0.0 0.525
0.0 0.505
0.0 0.485
0.0 0.505
0.0 0.49
0.0 0.46
0.0 0.505
0.0 0.49
0.0 0.5
0.0 0.48
0.0 0.49
0.0 0.46
0.0 0.495
0.0 0.485
0.0 0.48
0.0 0.505
0.0 0.46
0.0 0.46
0.0 0.485
0.0 0.53
0.0 0.48
0.0 0.485
0.0 0.46
0.0 0.49
0.0 0.505
0.0 0.47
0.0 0.505
0.0 0.505
0.0 0.48
0.0 0.55
0.0 0.53
0.0 0.495
0.0 0.505
0.0 0.46
0.0 0.46
0.0 0.48
0.0 0.51
0.0 0.46
0.0 0.485
0.0 0.46
0.0 0.46
0.0 0.46
0.0 0.46
0.0 0.525
0.0 0.485
0.0 0.46
0.0 0.505
0.0 0.485
0.0 0.46
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
0.0 0.505
