x y
0.53 0.58
0.59 0.58
0.46 0.58
0.5 0.58
0.44 0.58
0.52 0.58
0.44 0.58
0.44 0.58
0.57 0.58
0.51 0.58
0.48 0.58
0.59 0.58
0.5 0.58
0.52 0.58
0.51 0.58
0.54 0.58
0.6 0.58
0.49 0.58
0.54 0.58
0.44 0.58
0.52 0.58
0.55 0.58
0.52 0.58
0.4 0.58
0.51 0.58
0.6 0.58
0.55 0.58
0.45 0.58
0.5 0.58
0.5 0.58
0.14 0.55
0.1 0.495
0.12 0.555
0.07 0.48
0.02 0.58
0.08 0.58
0.06 0.5
0.09 0.48
0.14 0.535
0.03 0.48
0.03 0.525
0.09 0.525
0.08 0.48
0.05 0.58
0.13 0.575
0.07 0.48
0.06 0.525
0.15 0.495
0.02 0.58
0.18 0.495
0.07 0.48
0.16 0.55
0.12 0.535
0.1 0.48
0.11 0.48
0.04 0.58
0.09 0.56
0.08 0.48
0.08 0.58
0.05 0.48
0.13 0.525
0.07 0.58
0.11 0.605
0.11 0.525
0.16 0.55
0.16 0.52
0.2 0.55
0.18 0.455
0.16 0.495
0.26 0.48
0.15 0.535
0.12 0.525
0.18 0.48
0.14 0.605
0.22 0.53
0.13 0.48
0.13 0.55
0.16 0.495
0.17 0.495
0.07 0.56
0.27 0.575
0.2 0.585
0.13 0.55
0.15 0.55
0.24 0.48
0.07 0.58
0.2 0.525
0.21 0.58
0.16 0.55
0.08 0.53
0.21 0.55
0.31 0.515
0.36 0.51
0.27 0.53
0.19 0.48
0.12 0.51
0.28 0.495
0.27 0.58
0.28 0.525
0.23 0.55
0.17 0.48
0.16 0.525
0.28 0.535
0.19 0.525
0.35 0.56
0.33 0.55
0.2 0.575
0.28 0.495
0.26 0.53
0.17 0.48
0.36 0.48
0.18 0.525
0.17 0.58
0.27 0.525
0.21 0.55
0.18 0.495
0.31 0.555
0.15 0.495
0.12 0.55
0.24 0.47
0.28 0.58
0.24 0.48
0.26 0.535
0.38 0.525
0.35 0.48
0.31 0.48
0.45 0.555
0.37 0.54
0.36 0.555
0.29 0.48
0.38 0.525
0.27 0.58
0.36 0.55
0.33 0.55
0.26 0.48
0.16 0.48
0.2 0.48
0.29 0.48
0.47 0.48
0.26 0.535
0.23 0.55
0.32 0.48
0.24 0.48
0.2 0.48
0.25 0.55
0.23 0.55
0.28 0.55
0.28 0.48
0.31 0.535
0.33 0.48
0.41 0.575
0.42 0.525
0.34 0.495
0.31 0.55
0.21 0.48
0.37 0.55
0.28 0.48
0.45 0.48
0.32 0.53
0.26 0.48
0.36 0.48
0.4 0.575
0.34 0.495
0.4 0.48
0.38 0.515
0.24 0.55
0.31 0.575
0.32 0.55
0.36 0.58
0.37 0.48
0.32 0.48
0.34 0.575
0.31 0.48
0.29 0.48
0.25 0.535
0.26 0.535
0.31 0.48
0.26 0.48
0.24 0.575
0.37 0.535
0.32 0.535
0.32 0.525
0.26 0.48
0.4 0.55
0.39 0.535
0.46 0.48
0.4 0.48
0.43 0.48
0.38 0.48
0.44 0.555
0.35 0.48
0.41 0.55
0.44 0.545
0.35 0.535
0.24 0.55
0.39 0.51
0.48 0.535
0.32 0.48
0.3 0.535
0.37 0.525
0.4 0.48
0.36 0.48
0.28 0.48
0.35 0.48
0.41 0.555
0.32 0.58
0.22 0.58
0.37 0.55
0.35 0.48
0.41 0.48
0.31 0.48
0.39 0.605
0.36 0.575
0.47 0.48
0.34 0.48
0.34 0.525
0.42 0.48
0.43 0.525
0.31 0.48
0.39 0.58
0.38 0.48
0.38 0.48
0.53 0.495
0.42 0.48
0.5 0.575
0.34 0.48
0.43 0.495
0.34 0.48
0.31 0.525
0.3 0.48
0.41 0.48
0.38 0.55
0.5 0.48
0.45 0.48
0.37 0.48
0.38 0.48
0.39 0.535
0.45 0.55
0.41 0.515
0.35 0.55
0.45 0.48
0.43 0.575
0.44 0.495
0.47 0.535
0.48 0.55
0.43 0.48
0.45 0.48
0.55 0.55
0.53 0.515
0.49 0.48
0.38 0.48
0.39 0.48
0.34 0.48
0.63 0.55
0.5 0.48
0.48 0.535
0.5 0.48
0.54 0.495
0.46 0.55
0.44 0.535
0.53 0.48
0.47 0.55
0.43 0.48
0.41 0.48
0.42 0.48
0.41 0.48
0.54 0.48
0.48 0.48
0.43 0.48
0.49 0.525
0.44 0.48
0.54 0.48
0.4 0.48
0.38 0.58
0.42 0.55
0.43 0.48
0.35 0.58
0.49 0.48
0.5 0.48
0.43 0.48
0.39 0.58
0.53 0.48
0.43 0.48
0.41 0.55
0.54 0.525
0.39 0.48
0.45 0.48
0.5 0.48
0.38 0.48
0.5 0.48
0.47 0.48
0.43 0.48
0.53 0.48
0.51 0.58
0.48 0.48
0.46 0.48
0.47 0.55
0.45 0.58
0.43 0.48
0.53 0.55
0.49 0.58
0.43 0.58
0.47 0.58
0.54 0.58
0.46 0.58
0.5 0.58
0.47 0.58
0.51 0.58
0.45 0.58
0.46 0.58
0.45 0.58
0.43 0.58
0.52 0.58
0.48 0.58
0.49 0.58
0.46 0.58
0.53 0.58
0.5 0.58
0.5 0.58
0.45 0.58
0.51 0.58
0.56 0.58
0.5 0.58
0.55 0.58
0.5 0.58
0.48 0.58
0.55 0.58
0.5 0.58
0.5 0.58
0.52 0.58
